year,rainfall_mm,avg_temp_c,fertiliser_use_kg_ha,yield_tonnes_ha,temperature_stress,input_intensity,log_area,season_enc,crop_Cassava,crop_Coffee,crop_Maize,crop_Potatoes,crop_Rice,crop_Sorghum,crop_Tea,crop_Wheat,seed_variety_Improved Traditional,seed_variety_Traditional,rainfall_category_Semi-Arid,rainfall_category_Sub-Humid,rainfall_category_Humid,county_avg_yield
1990,838.1,18.2,118.0,4.51,0,147.5,0.5877866649021191,1,0,0,0,0,0,0,0,1,0,1,0,1,0,3.582
1990,704.0,16.3,118.0,1.27,0,17.4556,2.048982334195127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.582
1990,927.6,15.2,118.0,2.83,0,24.8945,1.747459210331475,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.582
1990,158.0,16.2,118.0,0.79,0,12.9813,2.3115448343655176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.582
1990,534.9,16.4,118.0,1.1,0,81.9444,0.8919980393051105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.582
1990,672.4,17.3,118.0,2.99,0,51.9824,1.184789984909162,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.582
1990,915.5,16.2,96.7,6.54,0,19.2629,1.7950872593207297,1,0,0,0,0,0,0,0,1,0,1,0,1,0,4.069
1990,1425.8,17.9,96.7,3.69,0,6.6415,2.7447035187502458,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.069
1990,1078.2,15.3,96.7,1.83,0,7.7236,2.604170070614818,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.069
1990,348.9,15.4,96.7,1.38,0,38.0709,1.264126727145683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.069
1990,758.5,17.6,96.7,2.18,0,16.9649,1.9021075263969205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.069
1990,319.3,17.8,96.7,0.83,0,19.3014,1.7934247485471162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.069
1990,833.4,18.9,87.5,6.98,0,39.2377,1.172482137234565,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3.973
1990,827.6,20.3,87.5,2.52,0,10.8292,2.206074192613202,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.973
1990,648.4,18.4,87.5,1.85,0,91.1458,0.6729444732424258,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3.973
1990,864.6,19.6,87.5,7.62,0,13.5659,2.0082140323914683,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3.973
1990,342.0,19.4,87.5,0.96,0,18.617,1.7404661748405046,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.973
