year,county,season,crop,area_harvested_ha,rainfall_mm,avg_temp_c,fertiliser_use_kg_ha,seed_variety,yield_tonnes_ha
1990,Uasin Gishu,Long Rains,Wheat,0.8,838.1,18.2,118.0,Traditional,4.51
1990,Uasin Gishu,Long Rains,Beans,6.76,704.0,16.3,118.0,Hybrid,1.27
1990,Uasin Gishu,Long Rains,Maize,4.74,927.6,15.2,118.0,Hybrid,2.83
1990,Uasin Gishu,Short Rains,Wheat,9.09,158.0,16.2,118.0,Hybrid,0.79
1990,Uasin Gishu,Short Rains,Beans,1.44,534.9,16.4,118.0,Hybrid,1.1
1990,Uasin Gishu,Short Rains,Maize,2.27,672.4,17.3,118.0,Hybrid,2.99
1990,Trans Nzoia,Long Rains,Wheat,5.02,915.5,16.2,96.7,Traditional,6.54
1990,Trans Nzoia,Long Rains,Beans,14.56,1425.8,17.9,96.7,Hybrid,3.69
1990,Trans Nzoia,Long Rains,Maize,12.52,1078.2,15.3,96.7,Hybrid,1.83
1990,Trans Nzoia,Short Rains,Wheat,2.54,348.9,15.4,96.7,Hybrid,1.38
1990,Trans Nzoia,Short Rains,Beans,5.7,758.5,17.6,96.7,Hybrid,2.18
1990,Trans Nzoia,Short Rains,Maize,5.01,319.3,17.8,96.7,Hybrid,0.83
1990,Nakuru,Long Rains,Wheat,2.23,833.4,18.9,87.5,Hybrid,6.98
1990,Nakuru,Long Rains,Beans,8.08,827.6,20.3,87.5,Hybrid,2.52
1990,Nakuru,Long Rains,Maize,0.96,648.4,18.4,87.5,Hybrid,1.85
1990,Nakuru,Long Rains,Potatoes,6.45,864.6,19.6,87.5,Hybrid,7.62
1990,Nakuru,Short Rains,Wheat,4.7,342.0,19.4,87.5,Hybrid,0.96
1990,Nakuru,Short Rains,Beans,13.44,634.1,18.8,87.5,Hybrid,1.77
1990,Nakuru,Short Rains,Maize,5.11,666.1,18.7,87.5,Improved Traditional,2.58
1990,Nakuru,Short Rains,Potatoes,0.6,405.2,20.0,87.5,Improved Traditional,0.99
1990,Nandi,Long Rains,Beans,14.17,887.9,17.0,43.6,Hybrid,1.03
1990,Nandi,Long Rains,Maize,5.77,867.2,15.1,43.6,Traditional,1.14
1990,Nandi,Long Rains,Tea,9.34,568.3,16.2,43.6,Hybrid,1.15
1990,Nandi,Short Rains,Beans,13.67,437.2,17.5,43.6,Hybrid,0.2
1990,Nandi,Short Rains,Maize,10.25,474.9,17.9,43.6,Hybrid,0.53
1990,Nandi,Short Rains,Tea,5.83,418.8,18.4,43.6,Traditional,0.58
1990,Bungoma,Long Rains,Beans,5.15,720.8,18.1,144.8,Improved Traditional,2.57
1990,Bungoma,Long Rains,Maize,9.86,1027.7,18.0,144.8,Hybrid,5.26
1990,Bungoma,Short Rains,Beans,14.08,662.5,16.9,144.8,Hybrid,1.5
1990,Bungoma,Short Rains,Maize,12.35,413.7,17.6,144.8,Traditional,0.78
1990,Kakamega,Long Rains,Beans,13.56,1528.8,18.6,144.1,Improved Traditional,2.78
1990,Kakamega,Long Rains,Maize,11.03,699.9,20.4,144.1,Hybrid,4.85
1990,Kakamega,Short Rains,Beans,1.97,903.4,19.3,144.1,Hybrid,2.87
1990,Kakamega,Short Rains,Maize,9.95,686.3,17.5,144.1,Traditional,2.62
1990,Kisii,Long Rains,Beans,9.92,991.3,17.1,86.1,Traditional,1.04
1990,Kisii,Long Rains,Maize,4.35,1385.9,17.5,86.1,Hybrid,3.69
1990,Kisii,Short Rains,Beans,12.02,963.2,18.2,86.1,Traditional,1.82
1990,Kisii,Short Rains,Maize,4.57,780.1,16.8,86.1,Traditional,1.33
1990,Nyamira,Long Rains,Beans,14.47,1094.0,17.9,111.0,Improved Traditional,1.76
1990,Nyamira,Long Rains,Maize,12.84,1023.1,18.9,111.0,Hybrid,2.7
1990,Nyamira,Short Rains,Beans,8.77,615.7,18.9,111.0,Traditional,0.33
1990,Nyamira,Short Rains,Maize,2.53,783.1,17.0,111.0,Improved Traditional,2.42
1990,Vihiga,Long Rains,Beans,5.71,1230.5,20.3,60.8,Traditional,1.54
1990,Vihiga,Long Rains,Maize,7.91,910.7,19.4,60.8,Improved Traditional,2.12
1990,Vihiga,Short Rains,Beans,10.68,988.4,19.0,60.8,Traditional,0.98
1990,Vihiga,Short Rains,Maize,8.89,715.2,17.6,60.8,Hybrid,0.85
1990,Bomet,Long Rains,Beans,0.94,827.4,14.9,109.0,Traditional,0.99
1990,Bomet,Long Rains,Maize,11.66,767.7,16.6,109.0,Hybrid,3.15
1990,Bomet,Long Rains,Tea,11.03,704.8,19.9,109.0,Traditional,3.51
1990,Bomet,Long Rains,Potatoes,12.03,919.1,17.5,109.0,Hybrid,8.05
1990,Bomet,Short Rains,Beans,2.77,317.6,16.1,109.0,Hybrid,0.33
1990,Bomet,Short Rains,Maize,10.07,648.7,15.1,109.0,Traditional,1.45
1990,Bomet,Short Rains,Tea,5.66,870.9,15.4,109.0,Hybrid,5.43
1990,Bomet,Short Rains,Potatoes,7.63,556.2,19.2,109.0,Hybrid,2.81
1990,Kericho,Long Rains,Beans,9.71,684.2,15.9,107.4,Traditional,0.72
1990,Kericho,Long Rains,Maize,10.05,990.1,17.6,107.4,Improved Traditional,4.81
1990,Kericho,Long Rains,Tea,14.13,1042.7,17.6,107.4,Traditional,1.42
