Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,LogMonthlyIncome,YearsPerCompany,PromotionLag,IncomePerYear,HighRiskProfile
41,1,1,1102,1,2,2,0,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.698514248,1,-4,665.89,0
49,0,2,279,8,1,3,1,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.543055851,10,-6,466.36,0
37,1,1,1373,2,2,4,1,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,7.645397699,1.166666667,0,261.25,0
33,0,2,1392,3,4,4,0,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.97590836,8,-4,323.22,0
27,0,1,591,2,1,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8.151621647,0.666666667,0,495.43,0
32,0,2,1005,2,2,4,1,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.029107055,8,-4,340.89,0
59,0,1,1324,3,3,3,0,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7.890208213,3,0,205.38,0
30,0,1,1358,24,1,4,1,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.898782357,1,0,1346.5,0
38,0,2,216,23,3,4,1,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.161885152,10,-6,866,0
36,0,1,1299,27,3,3,1,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.563695025,2.833333333,0,290.94,0
35,0,1,809,16,3,1,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7.794411206,6,-4,346.57,0
29,0,1,153,15,2,4,0,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.341410211,10,-5,381.18,0
31,0,1,670,26,1,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.976595409,5,2,485.17,0
34,0,1,1346,19,2,2,1,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7.886832999,3,-1,665.25,0
28,1,1,103,24,3,3,1,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.61529834,1.2,-2,289.71,0
29,0,1,1389,21,4,2,0,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.208438565,10,-1,907.27,0
32,0,1,334,5,2,1,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.101374671,7,-2,412.25,0
22,0,0,1123,16,2,4,1,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7.98480339,1,0,1467.5,0
53,0,1,1219,2,4,1,0,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.643939319,15.5,-5,482.09,0
38,0,1,371,2,3,4,1,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.280204233,1.2,-1,563.43,0
24,0,0,673,11,2,1,0,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.297045149,5,-1,668.5,0
36,1,1,1218,9,4,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8.133880888,1.428571429,-3,309.73,0
34,0,1,419,7,4,1,0,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.392245175,13,-4,856.71,0
21,0,1,391,15,2,3,1,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.117205503,0,0,1232,0
34,1,1,699,6,1,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7.993282328,4,-1,328.89,0
53,0,1,1282,5,3,3,0,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.8571818,6.5,-9,707.19,0
32,1,2,1125,16,1,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.273846933,10,4,356.27,0
42,0,1,691,8,4,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8.828494129,10,-3,620.45,0
44,0,1,477,7,4,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.234935419,8,-1,409.92,0
46,0,1,705,2,4,2,0,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.849453664,7.333333333,0,823.78,0
33,0,1,924,2,3,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7.82284529,1.75,-1,312,0
